A1-PFE-ZSF1	A2-PFE-ZSF1	A3-PFE-ZSF1	A4-PFE-ZSF1	A5-PFE-ZSF1	A6-PFE-ZSF1	A7-PFE-ZSF1	A8-PFE-ZSF1	A9-PFE-ZSF1	A10-PFE-ZSF1	B1-PFE-ZSF1	B2-PFE-ZSF1	B3-PFE-ZSF1	B4-PFE-ZSF1	B5-PFE-ZSF1	B6-PFE-ZSF1	B7-PFE-ZSF1	B8-PFE-ZSF1	B9-PFE-ZSF1	B10-PFE-ZSF1	C1-PFE-ZSF1	C2-PFE-ZSF1	C3-PFE-ZSF1	C4-PFE-ZSF1	C5-PFE-ZSF1	C6-PFE-ZSF1	C7-PFE-ZSF1	C8-PFE-ZSF1	C9-PFE-ZSF1	C10-PFE-ZSF1	D1-PFE-ZSF1	D2-PFE-ZSF1	D3-PFE-ZSF1	D4-PFE-ZSF1	D5-PFE-ZSF1	D6-PFE-ZSF1	D7-PFE-ZSF1	D8-PFE-ZSF1	D9-PFE-ZSF1	D10-PFE-ZSF1	E1-PFE-ZSF1	E2-PFE-ZSF1	E3-PFE-ZSF1	E4-PFE-ZSF1	E5-PFE-ZSF1	E6-PFE-ZSF1	E7-PFE-ZSF1	E8-PFE-ZSF1	E9-PFE-ZSF1	E10-PFE-ZSF1	F1-PFE-ZSF1	F2-PFE-ZSF1	F3-PFE-ZSF1	F4-PFE-ZSF1	F6-PFE-ZSF1	F7-PFE-ZSF1	F8-PFE-ZSF1
B1-PFE-ZSF1	0.9905	0.9911	0.9922	0.9921	0.9922	0.9903	0.9821	0.9904	0.9787	0.9850	1.0000	0.9946	0.9919	0.9927	0.9932	0.9915	0.9896	0.9829	0.9892	0.9832	0.9906	0.9858	0.9871	0.9948	0.9882	0.9797	0.9696	0.9864	0.9843	0.9852	0.9947	0.9944	0.9932	0.9940	0.9954	0.9843	0.9779	0.9905	0.9831	0.9815	0.9919	0.9941	0.9943	0.9916	0.9934	0.9387	0.9566	0.9607	0.9710	0.9679	0.9885	0.9890	0.9903	0.9845	0.9480	0.9480	0.9290
B2-PFE-ZSF1	0.9915	0.9856	0.9920	0.9901	0.9880	0.9874	0.9857	0.9870	0.9854	0.9894	0.9946	1.0000	0.9958	0.9950	0.9964	0.9912	0.9923	0.9891	0.9921	0.9876	0.9912	0.9910	0.9906	0.9921	0.9892	0.9848	0.9771	0.9882	0.9882	0.9882	0.9919	0.9931	0.9923	0.9923	0.9908	0.9843	0.9808	0.9870	0.9806	0.9839	0.9889	0.9929	0.9943	0.9935	0.9949	0.9477	0.9621	0.9670	0.9744	0.9729	0.9890	0.9908	0.9915	0.9895	0.9562	0.9565	0.9398
B3-PFE-ZSF1	0.9907	0.9810	0.9905	0.9869	0.9841	0.9836	0.9869	0.9842	0.9874	0.9903	0.9919	0.9958	1.0000	0.9943	0.9962	0.9888	0.9908	0.9904	0.9920	0.9885	0.9934	0.9936	0.9933	0.9906	0.9904	0.9883	0.9834	0.9897	0.9907	0.9898	0.9908	0.9919	0.9920	0.9919	0.9873	0.9862	0.9862	0.9864	0.9819	0.9883	0.9904	0.9917	0.9936	0.9943	0.9951	0.9586	0.9708	0.9757	0.9789	0.9782	0.9913	0.9915	0.9922	0.9933	0.9653	0.9664	0.9512
B4-PFE-ZSF1	0.9882	0.9849	0.9882	0.9886	0.9878	0.9838	0.9804	0.9841	0.9802	0.9851	0.9927	0.9950	0.9943	1.0000	0.9957	0.9905	0.9901	0.9862	0.9903	0.9861	0.9901	0.9906	0.9907	0.9927	0.9900	0.9819	0.9732	0.9855	0.9861	0.9842	0.9906	0.9913	0.9906	0.9901	0.9901	0.9822	0.9787	0.9852	0.9813	0.9820	0.9882	0.9929	0.9938	0.9910	0.9937	0.9422	0.9577	0.9639	0.9707	0.9671	0.9884	0.9899	0.9897	0.9875	0.9517	0.9526	0.9353
B5-PFE-ZSF1	0.9913	0.9835	0.9910	0.9890	0.9862	0.9842	0.9855	0.9848	0.9861	0.9894	0.9932	0.9964	0.9962	0.9957	1.0000	0.9901	0.9915	0.9901	0.9921	0.9884	0.9924	0.9932	0.9928	0.9916	0.9905	0.9863	0.9795	0.9887	0.9891	0.9889	0.9914	0.9926	0.9925	0.9914	0.9892	0.9839	0.9821	0.9858	0.9800	0.9851	0.9891	0.9924	0.9939	0.9937	0.9951	0.9511	0.9646	0.9696	0.9754	0.9745	0.9901	0.9917	0.9919	0.9916	0.9592	0.9599	0.9439
B6-PFE-ZSF1	0.9855	0.9859	0.9866	0.9873	0.9880	0.9920	0.9859	0.9931	0.9838	0.9875	0.9915	0.9912	0.9888	0.9905	0.9901	1.0000	0.9958	0.9892	0.9947	0.9900	0.9850	0.9837	0.9842	0.9903	0.9854	0.9850	0.9750	0.9900	0.9897	0.9878	0.9879	0.9894	0.9875	0.9881	0.9891	0.9896	0.9822	0.9926	0.9880	0.9866	0.9874	0.9906	0.9912	0.9870	0.9910	0.9438	0.9624	0.9664	0.9759	0.9718	0.9846	0.9863	0.9860	0.9823	0.9547	0.9543	0.9362
B7-PFE-ZSF1	0.9861	0.9809	0.9864	0.9848	0.9841	0.9891	0.9890	0.9910	0.9888	0.9907	0.9896	0.9923	0.9908	0.9901	0.9915	0.9958	1.0000	0.9939	0.9965	0.9936	0.9865	0.9869	0.9863	0.9879	0.9859	0.9893	0.9814	0.9921	0.9927	0.9906	0.9862	0.9884	0.9870	0.9870	0.9854	0.9897	0.9848	0.9904	0.9855	0.9888	0.9859	0.9886	0.9901	0.9884	0.9911	0.9520	0.9674	0.9712	0.9781	0.9767	0.9851	0.9867	0.9863	0.9860	0.9610	0.9608	0.9445
B8-PFE-ZSF1	0.9849	0.9710	0.9835	0.9786	0.9751	0.9816	0.9897	0.9828	0.9921	0.9919	0.9829	0.9891	0.9904	0.9862	0.9901	0.9892	0.9939	1.0000	0.9952	0.9942	0.9865	0.9903	0.9882	0.9808	0.9857	0.9943	0.9908	0.9932	0.9949	0.9932	0.9813	0.9844	0.9843	0.9831	0.9765	0.9894	0.9890	0.9852	0.9823	0.9917	0.9823	0.9839	0.9862	0.9880	0.9891	0.9684	0.9779	0.9821	0.9850	0.9858	0.9857	0.9869	0.9860	0.9905	0.9745	0.9744	0.9627
B9-PFE-ZSF1	0.9865	0.9791	0.9864	0.9840	0.9825	0.9877	0.9889	0.9887	0.9894	0.9911	0.9892	0.9921	0.9920	0.9903	0.9921	0.9947	0.9965	0.9952	1.0000	0.9949	0.9876	0.9882	0.9875	0.9871	0.9862	0.9909	0.9847	0.9928	0.9941	0.9915	0.9862	0.9882	0.9872	0.9874	0.9841	0.9913	0.9877	0.9903	0.9863	0.9912	0.9864	0.9883	0.9902	0.9890	0.9914	0.9584	0.9719	0.9762	0.9812	0.9800	0.9865	0.9874	0.9871	0.9886	0.9663	0.9660	0.9514
B10-PFE-ZSF1	0.9814	0.9717	0.9808	0.9776	0.9751	0.9825	0.9866	0.9837	0.9887	0.9891	0.9832	0.9876	0.9885	0.9861	0.9884	0.9900	0.9936	0.9942	0.9949	1.0000	0.9830	0.9848	0.9831	0.9814	0.9810	0.9893	0.9841	0.9901	0.9920	0.9887	0.9798	0.9824	0.9815	0.9816	0.9771	0.9878	0.9849	0.9853	0.9824	0.9890	0.9803	0.9822	0.9845	0.9844	0.9863	0.9592	0.9708	0.9758	0.9797	0.9792	0.9815	0.9828	0.9826	0.9860	0.9675	0.9665	0.9539
C1-PFE-ZSF1	0.9891	0.9806	0.9894	0.9845	0.9833	0.9817	0.9846	0.9827	0.9828	0.9866	0.9906	0.9912	0.9934	0.9901	0.9924	0.9850	0.9865	0.9865	0.9876	0.9830	1.0000	0.9931	0.9949	0.9921	0.9937	0.9887	0.9834	0.9908	0.9903	0.9904	0.9929	0.9917	0.9943	0.9935	0.9880	0.9851	0.9864	0.9876	0.9833	0.9872	0.9942	0.9920	0.9929	0.9957	0.9942	0.9596	0.9723	0.9762	0.9800	0.9803	0.9937	0.9915	0.9927	0.9916	0.9647	0.9659	0.9503
C2-PFE-ZSF1	0.9877	0.9747	0.9863	0.9817	0.9786	0.9770	0.9837	0.9772	0.9846	0.9873	0.9858	0.9910	0.9936	0.9906	0.9932	0.9837	0.9869	0.9903	0.9882	0.9848	0.9931	1.0000	0.9956	0.9864	0.9937	0.9907	0.9864	0.9898	0.9905	0.9903	0.9877	0.9895	0.9906	0.9876	0.9817	0.9834	0.9852	0.9819	0.9794	0.9861	0.9875	0.9902	0.9915	0.9935	0.9939	0.9620	0.9719	0.9777	0.9813	0.9804	0.9925	0.9935	0.9920	0.9935	0.9683	0.9697	0.9557
C3-PFE-ZSF1	0.9870	0.9760	0.9866	0.9819	0.9799	0.9784	0.9836	0.9792	0.9835	0.9861	0.9871	0.9906	0.9933	0.9907	0.9928	0.9842	0.9863	0.9882	0.9875	0.9831	0.9949	0.9956	1.0000	0.9893	0.9952	0.9901	0.9852	0.9899	0.9906	0.9901	0.9894	0.9906	0.9919	0.9898	0.9837	0.9840	0.9859	0.9838	0.9807	0.9869	0.9909	0.9912	0.9927	0.9943	0.9943	0.9612	0.9728	0.9776	0.9806	0.9800	0.9932	0.9930	0.9924	0.9924	0.9670	0.9687	0.9540
C4-PFE-ZSF1	0.9862	0.9878	0.9883	0.9877	0.9896	0.9874	0.9796	0.9882	0.9755	0.9813	0.9948	0.9921	0.9906	0.9927	0.9916	0.9903	0.9879	0.9808	0.9871	0.9814	0.9921	0.9864	0.9893	1.0000	0.9910	0.9801	0.9696	0.9868	0.9849	0.9852	0.9943	0.9932	0.9938	0.9940	0.9949	0.9833	0.9782	0.9906	0.9845	0.9813	0.9933	0.9947	0.9949	0.9923	0.9937	0.9380	0.9565	0.9608	0.9706	0.9669	0.9888	0.9890	0.9905	0.9827	0.9474	0.9476	0.9282
C5-PFE-ZSF1	0.9864	0.9801	0.9864	0.9832	0.9843	0.9812	0.9818	0.9813	0.9790	0.9836	0.9882	0.9892	0.9904	0.9900	0.9905	0.9854	0.9859	0.9857	0.9862	0.9810	0.9937	0.9937	0.9952	0.9910	1.0000	0.9878	0.9801	0.9893	0.9888	0.9884	0.9902	0.9907	0.9917	0.9895	0.9863	0.9831	0.9825	0.9852	0.9825	0.9841	0.9911	0.9924	0.9929	0.9929	0.9934	0.9528	0.9664	0.9719	0.9781	0.9759	0.9934	0.9926	0.9915	0.9883	0.9600	0.9611	0.9448
C6-PFE-ZSF1	0.9834	0.9683	0.9824	0.9752	0.9722	0.9792	0.9904	0.9809	0.9912	0.9906	0.9797	0.9848	0.9883	0.9819	0.9863	0.9850	0.9893	0.9943	0.9909	0.9893	0.9887	0.9907	0.9901	0.9801	0.9878	1.0000	0.9947	0.9944	0.9961	0.9949	0.9806	0.9830	0.9846	0.9833	0.9742	0.9905	0.9926	0.9857	0.9841	0.9933	0.9848	0.9830	0.9848	0.9888	0.9882	0.9760	0.9854	0.9881	0.9895	0.9910	0.9876	0.9868	0.9863	0.9903	0.9814	0.9818	0.9704
C7-PFE-ZSF1	0.9764	0.9548	0.9743	0.9648	0.9596	0.9678	0.9854	0.9701	0.9883	0.9858	0.9696	0.9771	0.9834	0.9732	0.9795	0.9750	0.9814	0.9908	0.9847	0.9841	0.9834	0.9864	0.9852	0.9696	0.9801	0.9947	1.0000	0.9895	0.9923	0.9904	0.9721	0.9745	0.9768	0.9756	0.9622	0.9865	0.9924	0.9774	0.9778	0.9914	0.9779	0.9737	0.9766	0.9830	0.9812	0.9861	0.9910	0.9929	0.9896	0.9925	0.9822	0.9803	0.9800	0.9884	0.9884	0.9893	0.9811
C8-PFE-ZSF1	0.9860	0.9769	0.9864	0.9813	0.9791	0.9860	0.9903	0.9876	0.9890	0.9909	0.9864	0.9882	0.9897	0.9855	0.9887	0.9900	0.9921	0.9932	0.9928	0.9901	0.9908	0.9898	0.9899	0.9868	0.9893	0.9944	0.9895	1.0000	0.9955	0.9958	0.9878	0.9888	0.9900	0.9893	0.9834	0.9931	0.9915	0.9922	0.9892	0.9936	0.9898	0.9886	0.9895	0.9913	0.9916	0.9679	0.9805	0.9830	0.9892	0.9886	0.9898	0.9897	0.9903	0.9894	0.9752	0.9743	0.9603
C9-PFE-ZSF1	0.9847	0.9732	0.9842	0.9787	0.9774	0.9834	0.9904	0.9849	0.9904	0.9906	0.9843	0.9882	0.9907	0.9861	0.9891	0.9897	0.9927	0.9949	0.9941	0.9920	0.9903	0.9905	0.9906	0.9849	0.9888	0.9961	0.9923	0.9955	1.0000	0.9946	0.9844	0.9860	0.9871	0.9868	0.9795	0.9923	0.9926	0.9897	0.9878	0.9941	0.9880	0.9865	0.9884	0.9905	0.9907	0.9708	0.9819	0.9848	0.9876	0.9879	0.9888	0.9879	0.9875	0.9902	0.9768	0.9769	0.9642
C10-PFE-ZSF1	0.9871	0.9755	0.9877	0.9815	0.9770	0.9850	0.9922	0.9861	0.9911	0.9921	0.9852	0.9882	0.9898	0.9842	0.9889	0.9878	0.9906	0.9932	0.9915	0.9887	0.9904	0.9903	0.9901	0.9852	0.9884	0.9949	0.9904	0.9958	0.9946	1.0000	0.9869	0.9888	0.9904	0.9888	0.9823	0.9915	0.9909	0.9905	0.9866	0.9924	0.9885	0.9881	0.9887	0.9919	0.9914	0.9693	0.9809	0.9837	0.9907	0.9906	0.9893	0.9905	0.9914	0.9901	0.9766	0.9758	0.9624
D1-PFE-ZSF1	0.9897	0.9881	0.9912	0.9895	0.9881	0.9865	0.9808	0.9864	0.9766	0.9832	0.9947	0.9919	0.9908	0.9906	0.9914	0.9879	0.9862	0.9813	0.9862	0.9798	0.9929	0.9877	0.9894	0.9943	0.9902	0.9806	0.9721	0.9878	0.9844	0.9869	1.0000	0.9957	0.9961	0.9959	0.9952	0.9850	0.9809	0.9907	0.9853	0.9830	0.9946	0.9950	0.9949	0.9937	0.9941	0.9454	0.9614	0.9657	0.9760	0.9719	0.9921	0.9918	0.9932	0.9865	0.9539	0.9538	0.9350
D2-PFE-ZSF1	0.9904	0.9877	0.9919	0.9907	0.9880	0.9880	0.9838	0.9878	0.9802	0.9864	0.9944	0.9931	0.9919	0.9913	0.9926	0.9894	0.9884	0.9844	0.9882	0.9824	0.9917	0.9895	0.9906	0.9932	0.9907	0.9830	0.9745	0.9888	0.9860	0.9888	0.9957	1.0000	0.9957	0.9947	0.9942	0.9862	0.9815	0.9905	0.9850	0.9840	0.9932	0.9959	0.9956	0.9938	0.9953	0.9465	0.9626	0.9670	0.9783	0.9741	0.9920	0.9941	0.9944	0.9879	0.9561	0.9563	0.9379
D3-PFE-ZSF1	0.9899	0.9854	0.9914	0.9882	0.9855	0.9858	0.9839	0.9861	0.9806	0.9858	0.9932	0.9923	0.9920	0.9906	0.9925	0.9875	0.9870	0.9843	0.9872	0.9815	0.9943	0.9906	0.9919	0.9938	0.9917	0.9846	0.9768	0.9900	0.9871	0.9904	0.9961	0.9957	1.0000	0.9961	0.9937	0.9857	0.9828	0.9905	0.9845	0.9848	0.9943	0.9951	0.9950	0.9956	0.9953	0.9505	0.9655	0.9694	0.9793	0.9771	0.9925	0.9936	0.9953	0.9889	0.9588	0.9586	0.9413
D4-PFE-ZSF1	0.9896	0.9863	0.9916	0.9884	0.9870	0.9872	0.9838	0.9874	0.9797	0.9856	0.9940	0.9923	0.9919	0.9901	0.9914	0.9881	0.9870	0.9831	0.9874	0.9816	0.9935	0.9876	0.9898	0.9940	0.9895	0.9833	0.9756	0.9893	0.9868	0.9888	0.9959	0.9947	0.9961	1.0000	0.9942	0.9866	0.9838	0.9917	0.9863	0.9856	0.9953	0.9943	0.9943	0.9947	0.9941	0.9512	0.9662	0.9693	0.9781	0.9762	0.9915	0.9908	0.9936	0.9879	0.9579	0.9580	0.9402
D5-PFE-ZSF1	0.9872	0.9917	0.9899	0.9910	0.9910	0.9892	0.9777	0.9890	0.9722	0.9801	0.9954	0.9908	0.9873	0.9901	0.9892	0.9891	0.9854	0.9765	0.9841	0.9771	0.9880	0.9817	0.9837	0.9949	0.9863	0.9742	0.9622	0.9834	0.9795	0.9823	0.9952	0.9942	0.9937	0.9942	1.0000	0.9812	0.9730	0.9902	0.9829	0.9768	0.9914	0.9944	0.9933	0.9898	0.9915	0.9295	0.9496	0.9538	0.9683	0.9631	0.9866	0.9881	0.9898	0.9796	0.9409	0.9404	0.9197
D6-PFE-ZSF1	0.9820	0.9745	0.9826	0.9785	0.9764	0.9848	0.9863	0.9864	0.9845	0.9866	0.9843	0.9843	0.9862	0.9822	0.9839	0.9896	0.9897	0.9894	0.9913	0.9878	0.9851	0.9834	0.9840	0.9833	0.9831	0.9905	0.9865	0.9931	0.9923	0.9915	0.9850	0.9862	0.9857	0.9866	0.9812	1.0000	0.9936	0.9939	0.9937	0.9952	0.9872	0.9854	0.9867	0.9861	0.9877	0.9694	0.9829	0.9844	0.9900	0.9862	0.9861	0.9853	0.9855	0.9847	0.9772	0.9766	0.9629
D7-PFE-ZSF1	0.9791	0.9647	0.9785	0.9711	0.9685	0.9755	0.9849	0.9776	0.9849	0.9850	0.9779	0.9808	0.9862	0.9787	0.9821	0.9822	0.9848	0.9890	0.9877	0.9849	0.9864	0.9852	0.9859	0.9782	0.9825	0.9926	0.9924	0.9915	0.9926	0.9909	0.9809	0.9815	0.9828	0.9838	0.9730	0.9936	1.0000	0.9877	0.9889	0.9961	0.9858	0.9804	0.9829	0.9857	0.9853	0.9815	0.9902	0.9917	0.9907	0.9901	0.9861	0.9830	0.9835	0.9871	0.9847	0.9859	0.9743
D8-PFE-ZSF1	0.9839	0.9836	0.9861	0.9839	0.9841	0.9903	0.9850	0.9916	0.9803	0.9848	0.9905	0.9870	0.9864	0.9852	0.9858	0.9926	0.9904	0.9852	0.9903	0.9853	0.9876	0.9819	0.9838	0.9906	0.9852	0.9857	0.9774	0.9922	0.9897	0.9905	0.9907	0.9905	0.9905	0.9917	0.9902	0.9939	0.9877	1.0000	0.9937	0.9901	0.9914	0.9903	0.9905	0.9887	0.9901	0.9530	0.9709	0.9728	0.9829	0.9790	0.9867	0.9863	0.9877	0.9815	0.9624	0.9613	0.9442
D9-PFE-ZSF1	0.9790	0.9771	0.9802	0.9782	0.9787	0.9844	0.9811	0.9850	0.9760	0.9804	0.9831	0.9806	0.9819	0.9813	0.9800	0.9880	0.9855	0.9823	0.9863	0.9824	0.9833	0.9794	0.9807	0.9845	0.9825	0.9841	0.9778	0.9892	0.9878	0.9866	0.9853	0.9850	0.9845	0.9863	0.9829	0.9937	0.9889	0.9937	1.0000	0.9899	0.9879	0.9863	0.9861	0.9837	0.9857	0.9580	0.9741	0.9765	0.9850	0.9786	0.9852	0.9833	0.9831	0.9787	0.9677	0.9672	0.9515
D10-PFE-ZSF1	0.9812	0.9687	0.9811	0.9747	0.9720	0.9799	0.9870	0.9821	0.9873	0.9875	0.9815	0.9839	0.9883	0.9820	0.9851	0.9866	0.9888	0.9917	0.9912	0.9890	0.9872	0.9861	0.9869	0.9813	0.9841	0.9933	0.9914	0.9936	0.9941	0.9924	0.9830	0.9840	0.9848	0.9856	0.9768	0.9952	0.9961	0.9901	0.9899	1.0000	0.9871	0.9834	0.9858	0.9874	0.9878	0.9776	0.9881	0.9900	0.9910	0.9898	0.9874	0.9854	0.9856	0.9890	0.9828	0.9830	0.9706
E1-PFE-ZSF1	0.9877	0.9848	0.9893	0.9864	0.9865	0.9861	0.9835	0.9874	0.9791	0.9845	0.9919	0.9889	0.9904	0.9882	0.9891	0.9874	0.9859	0.9823	0.9864	0.9803	0.9942	0.9875	0.9909	0.9933	0.9911	0.9848	0.9779	0.9898	0.9880	0.9885	0.9946	0.9932	0.9943	0.9953	0.9914	0.9872	0.9858	0.9914	0.9879	0.9871	1.0000	0.9941	0.9941	0.9940	0.9937	0.9543	0.9706	0.9730	0.9800	0.9774	0.9935	0.9910	0.9921	0.9878	0.9611	0.9618	0.9437
E2-PFE-ZSF1	0.9897	0.9888	0.9912	0.9910	0.9901	0.9886	0.9832	0.9880	0.9789	0.9853	0.9941	0.9929	0.9917	0.9929	0.9924	0.9906	0.9886	0.9839	0.9883	0.9822	0.9920	0.9902	0.9912	0.9947	0.9924	0.9830	0.9737	0.9886	0.9865	0.9881	0.9950	0.9959	0.9951	0.9943	0.9944	0.9854	0.9804	0.9903	0.9863	0.9834	0.9941	1.0000	0.9969	0.9940	0.9959	0.9439	0.9611	0.9661	0.9773	0.9722	0.9931	0.9945	0.9943	0.9874	0.9541	0.9543	0.9354
